item,mean RT,sd for RT,mean rating,sd for rating
nugget,1708.5,1100.5,6.3,1.1
nuisance,2463,2197.9,3.4,2.2
number,1305,690.2,5.5,2.2
nurture,2236.7,1667,4.8,2.2
nutmeg,1506.5,851.8,5.7,1.9
nylon,1619.8,1794.2,5.9,1.6
nylons,1248.1,659.1,6.1,2
obey,1967.1,2586.7,3.1,2.2
object,1627,1008.9,4.9,2.3
oblige,1911.8,2004.5,2.4,1.9
obscene,1857.4,1136.4,3.9,2.2
obscure,1818.6,1072.4,3.1,2.2
observe,1996.1,1457.5,4,2.3
obsess,2344.2,2054.3,3.5,2.5
obstruct,2284.2,2307.9,3.9,2.2
obtain,1897.3,1498.8,3.7,2.1
occult,1580.8,971.6,2.6,2.5
occur,1421.5,1986.5,2,1.6
ocean,1240.5,920,6.8,0.6
odor,1869.1,1798.1,5.2,2
offend,1958.3,1358.1,3.3,2
offense,1869.6,1194,4.2,2.2
offer,1928.6,1821.3,3.4,2.2
office,1383.2,858.2,6.2,1.1
ogre,1818,1123.3,6.1,1.5
ointment,1466.4,797.5,5.7,2
okay,1760.1,1362.5,2.9,2.2
olive,1335.7,913.7,6.7,1.1
omelet,877.2,2012.9,6.6,1.2
omelette,1234.4,742.8,6.4,1.2
omen,1732.4,814.8,4,2.3
onion,1210.8,778.3,6.5,1.5
only,1925,1320.1,2.3,1.7
onset,1806.2,1326.2,2.6,1.9
opal,1423.7,1217,4.8,2.7
open,1639.1,1359,5.4,2.1
oppose,2720.6,5122,3.3,2.2
optic,2090.2,2698,4.5,2.2
option,2243.8,1849.7,3.2,2.1
opus,2022.3,1325.4,2.9,2.3
oral,1662.2,1083.8,5.4,2.3
orbit,1813.7,1613.1,5.8,1.8
orchard,1270.5,718.3,6.6,1.2
orchid,1300.9,594.2,6.3,1.5
ordeal,2960.6,3307.5,3.1,1.8
order,2580.5,3316.8,3.6,2.1
organ,1131,531.9,5.9,1.7
orgy,1787.5,776.4,5.9,1.7
orphan,1317.6,764.7,5.9,1.8
ostrich,1280,822.5,6.4,1.6
other,2275.8,2197.9,2.2,2
outfit,1465.1,947.5,5.8,1.6
outlet,1485.3,737.4,6,1.9
outrage,2190.6,2396,4.1,2.2
oval,1376.1,739.3,5.5,1.9
oven,1152.4,504.1,6.9,0.6
over,2471.5,2937.1,3.4,2.1
oyster,1632.3,1996.9,6.7,1.2
ozone,1514.3,864.8,5.7,2
package,1376.4,761.9,6.3,1.1
packet,1746.9,1002.7,5.1,2.3
paddle,1120.9,437.6,6.7,1.1
paddy,2164,1865.5,3.3,2.4
pagan,1982,1417.2,4.1,2.3
pageant,1783.9,1369.9,5.8,1.9
paisley,1743.2,1024,4.9,2.4
palace,1589.1,2732.9,6.5,1.3
palate,2604.3,2169.4,4.3,2.4
palette,2509,1885.3,3.9,2.4
palsy,2294.7,2078.7,2.8,2
paltry,1990.1,1365.7,2.4,2
pamper,1912.5,1317,5.2,1.8
pamphlet,1392.4,659.6,6.4,1.1
panda,894.8,218.5,6.4,1.6
panel,1590.1,1083.5,4.8,2.2
panic,1829.5,1270.6,5,2.1
pansy,1630.2,918.3,5.4,2.1
panther,1133.7,443.8,6.5,1.4
pantry,1596.3,1232.9,6.4,1.4
paper,1148.4,627.9,6.9,0.5
para,1929.6,1612.9,2.4,1.8
parade,1632.8,1752.5,5.9,1.9
parcel,1401.7,386.9,4.5,2.4
parchment,1518.3,1947.2,5.1,2.4
pardon,1951.4,2363.6,2.8,2.1
parent,1293,549.6,6.5,1.3
parish,2468.9,2819.4,4.2,2.5
parka,1210.2,487.1,5.7,2.1
parlay,1977.2,1473.3,3.1,2.3
parlor,1480.9,850.4,5.9,1.9
parlour,1821.2,1494.8,4.7,2.3
parole,2111.6,2104.2,3.9,2.3
parrot,1213.8,721.4,6.5,1.8
parry,2068.9,3174.7,2.8,2.1
parsley,1351.2,679,5.8,2
partake,2063.3,1826.4,3.4,2.1
partial,2108.9,2160.4,3.7,2.1
partner,1808.1,1685.3,5.7,2
partridge,2131.8,2084,4.3,2.8
party,1002.7,355.5,6.6,0.8
passage,2104.2,1715.9,4.3,2.4
passion,2359.7,2685.5,4.9,1.8
passive,1945.5,2197.8,3.7,2.2
pasta,1345.1,1145.2,6.8,0.9
pastor,1135.5,730.9,6.2,1.8
pastry,1343.1,1078.1,6.4,1.4
pasture,1397.7,596,5.8,2.2
pasty,2767.1,3176.4,5.5,2.1
patent,2304,2397.5,3.6,2.3
patient,1805.7,1326.3,5.9,1.8
patrol,1387.2,813.5,4.9,2.4
patron,2246.4,3076.2,4.7,2
patter,2129.9,1570.9,2.1,1.3
pattern,1492.6,608,5.1,2
payment,1833.2,981.4,4.8,2
peacock,1035.7,296.1,6.6,1.5
peanut,988.5,322.9,6.9,0.5
peasant,1924.8,1494.5,5.5,1.9
pebble,1472.6,1034.5,6.5,1.3
pecan,1104.4,1633.6,6.6,1.4
pedal,1335.6,764.4,6.6,1.1
peddle,1625.8,1196,5.4,2.2
pellet,2038.6,2270.7,5.1,2.3
pelvis,1443.7,1148.3,6.1,1.7
penal,2091.2,1839.7,2.4,1.7
penance,2007.4,1399.1,3.7,2.5
penchant,2386.8,2727,2.3,2
pencil,1227.1,594.1,6.6,0.8
pendant,1661.1,1195.4,5.9,1.8
penguin,1337.5,1334.5,6.7,0.6
pennant,1939.7,1085.1,4.1,2.4
pension,1999.1,1266.3,3.4,2.4
people,1284.7,598.5,6.2,1.4
pepper,1456.8,1598.8,6.5,1.5
perceive,2118.2,1884.8,2.7,1.8
percent,1560.2,829.9,5.3,2.4
perchance,2189.6,1197.4,1.9,1.7
perfect,2467.7,2094,3.6,1.9
perform,3447.2,7893.4,4.7,2.2
perfume,1324.9,917.5,6.5,1.1
perhaps,1726.3,1154.2,2.8,2.4
peril,1622.2,809.4,4,2.5
perish,2014.6,1231.4,4.3,2.5
permit,1808.3,1444.8,4.5,2.2
persist,1959,1427.9,3.1,1.9
person,1466.4,855.3,6.1,1.6
persuade,2469.3,1942.2,3.4,2
perverse,2687.4,2299,2.4,1.9
pervert,1493.6,807.7,5.1,2.2
pesky,1975.8,1776.3,3.6,2.1
pestle,1898.7,1585,2.6,2.1
petal,1691.5,2148.1,6.2,1.9
petite,1745.2,1473.3,6,1.7
petrol,2264.9,2130.4,3.8,2.5
petty,2165.7,1937.9,3,2.2
phantom,1697.9,1395.4,5.7,1.7
pheasant,1307.4,553,6.1,1.9
phony,2840,3859.5,3.4,2.2
photon,2441.9,2170.2,4,2.4
physics,1962.6,2120,5,2.1
