item,mean RT,sd for RT,mean rating,sd for rating
vitro,1837.6,1560.4,2.4,2.1
vivid,2089.1,2733.1,4.5,2.1
vixen,1306.3,640.8,4.4,2.6
vodka,1263.3,937,6.7,1.1
voltage,1789.2,1372.9,5.3,2
volume,1925,1532.4,4.8,2.3
vomit,1182.7,532.7,6.2,1.8
voodoo,1488.3,857.5,5.3,2.1
vortex,2413.4,3516.2,4.5,2.4
voucher,1740.4,967.1,4.8,2.1
vowel,1668.6,637.9,5.5,2.1
voyage,1490.5,565.7,5.3,2
vulgar,1797.1,1527,3.9,2.4
vulture,1378.9,575.7,6.3,1.7
wacky,2487.9,1994.2,4.5,2
waffle,1375.1,903.1,6.7,1.2
wager,2075.9,1849.3,3.6,2.2
wagon,1243.5,778.2,6.3,1.6
waiter,1020.1,447,6.8,0.7
waitress,1262.9,728.2,6.7,1.1
waiver,1752.1,1024.7,3.7,2.2
wallet,1134.2,964.7,6.5,1.5
wallop,1879.9,1776.1,3,2.3
wallow,2058.2,1677.1,3.2,2
walnut,1166.5,1000,6.7,0.8
walrus,1207.1,625.2,6.6,1.6
wander,1772.4,1348.4,4,2.2
wanted,2352.1,1487.2,4,2.4
wanton,2075.1,1727.3,3.9,2.5
warden,1273.1,622.4,5.3,2
warlock,1766.9,1607.8,4.5,2.5
warrant,1884.2,1341.3,5,2.4
wary,1850.3,1379.2,2.9,2.2
water,1214.2,640.2,6.7,1.3
weapon,1030.5,322.1,6.5,0.9
weary,1897.3,1240,3.8,2.2
weasel,1115.8,462,6.1,1.8
weather,1623.9,1504.3,6.3,1.6
wedding,1237.8,668,6.5,1
wedgie,3117.4,8614.7,6.3,1.5
wedlock,1783.2,1079.6,3.7,2.4
weekend,1604.3,1140,4.9,2.3
weirdo,1445.2,800,5.3,2
welcome,2208,2066.6,4.4,2.4
welfare,1966.8,1713.7,4.1,2.3
whammy,2260,2709,3.2,2.2
whereas,1453.1,703.5,1.5,1.3
whether,1676,964.9,2.5,2.2
whimper,1653.7,1078,5,2.1
whiskey,1029.5,339.2,6.7,1.1
whisky,1236.3,983,6.1,1.8
whisper,2064.9,2557.6,5.3,1.9
whistle,1092,405.2,6.1,1.7
whoopee,2176.8,1475.9,3.9,2.4
whopper,1211.5,490.4,6.4,1.5
wicked,1806.1,1105.8,5.2,1.9
widow,1508,932.6,5.9,1.7
wiggle,1744.5,1121.4,5.2,2
wily,2466.9,4030.7,2.6,2
window,1128.1,519.4,6.8,0.7
winter,1164,504.4,6.5,1.5
wisdom,1719.3,949.7,3.9,2.1
withdraw,2104.1,2065,4.3,2.5
wither,1562.1,829.6,4.3,2.3
without,2329.1,1887.4,2,1.4
witness,2281.9,2294.7,5.5,1.7
wizard,1304.6,1205.4,6.5,1
wobble,1587.9,1103.2,4.5,2.4
woman,1221.6,648.9,6.3,1.4
wonder,2266.7,2274.7,3.7,2.1
wondrous,1812.8,1318.8,3.4,2.3
woozy,1532.7,811.7,4.2,2.2
worry,2346.5,2544.5,4.1,2
worship,1660.5,960.9,5.4,2.2
wrestle,1311.5,692.3,6.5,1
wrinkle,1140.9,548.9,6.6,0.9
yahoo,1593.8,980.3,5.1,2.2
yellow,1260.1,994.6,6.7,1.4
yodel,1693.4,1532.6,4.5,2.3
yoga,1142.9,675.8,6.5,1
yogurt,1375.8,997.2,6.4,1.5
yonder,2572.4,2664.5,3.4,2
yourself,1928,1527.7,5.5,2.1
yummy,1741.8,1027.8,4.6,2.3
yuppie,1940.3,1378.1,4.3,2.4
zebra,1100.6,842.3,6.6,1.2
zephyr,1963,1473.7,3.1,2.3
zero,1416.7,555,6,2.1
zipper,967.1,307.8,6.7,0.8
zombie,1181,543.4,6.7,0.7
